QUESTION_TEXT,OPTION_1,OPTION_2,OPTION_3
"-وفي غضون ذلك ، يهدف التدريب الموسع على "" التخطيط الموجه للناس "" الى اطلاع مجموعة من موظفي المفوضية الذين يتولون مناصب حساسة وموظفي ا ـ ـ ـ ـ ـ ء المنفذين على اطار التحليل وتقدير الاحتياجات .-

- الحرف الأول [ ا ] - الحرف الأخير [ ء ] - [ ا ـ ـ ـ ـ ـ ء ] - عدد الحروف 7 -",الشركاء,والشركاء,بالشركاء
"-25 - يكون فريق التدريب التابع لفرع المعلومات والتدريب قادرا على تصميم وإدارة الموقع على الشبكة ، ويكون جهة الاتصال لأغراض إدخال المعلومات التي ترد من شعب أخرى بشأن هذا الموقع بغية ت ـ ـ ـ ز جميع جوانب الدورة .-

- الحرف الأول [ ت ] - الحرف الأخير [ ز ] - [ ت ـ ـ ـ ز ] - عدد الحروف 5 -",تعزيز,وتعزيز,لتعزيز
"-وأضافا أن هناك مؤامرة متعمدة ومعقدة لتمويه القتل بوسائل منها تأليف وتدمير وإخفاء الأدلة وكذلك عدم تقديم الوقائع بصورة ص ـ ـ ـ ة وتشويهها ، وكل ذلك يشكل عرقلة لتحقيق العدالة ، وتعديا غير مشروع على شرف ابن صاحبي البلاغ .-

- الحرف الأول [ ص ] - الحرف الأخير [ ة ] - [ ص ـ ـ ـ ة ] - عدد الحروف 5 -",صحيحة,وصحيحة,الصحيحة
"-26 - وعلى الرغم من بعض الصعوبات التي ووجهت ، فقد تواصلت عمليات العودة ا ـ ـ ـ ـ ـ ة إلى الوطن مع إحراز قدر محدود من النجاح .-

- الحرف الأول [ ا ] - الحرف الأخير [ ة ] - [ ا ـ ـ ـ ـ ـ ة ] - عدد الحروف 7 -",الطوعية,الطوعي,طوعية
"-وبينما تدل دراسات الجدوى على قبول الرفالات بشكل متزايد من طرف الرجال والنساء على حد سواء ، إلا أن مسائل التكلفة والتوافر تشكل عقبات أ ـ ـ ـ  استخدامها على نطاق واسع .-

- الحرف الأول [ أ ] - [ أ ـ ـ ـ  ] - عدد الحروف 4 -",أمام,امام,أمامه
"-4 - وثمة حاجة إلى مواصلة برامج تطوير الطاقة النووية مع إيلاء ا ـ ـ ـ ـ ـ ـ ر الواجب للأمان النووي ، وخاصة فيما يتصل بتطبيق معايير الأمان التي وضعتها الوكالة الدولية للطاقة الذرية ، وذلك للحفاظ على مستوى عال من الأمان والترويج له على الصعيد الدولي .-

- الحرف الأول [ ا ] - الحرف الأخير [ ر ] - [ ا ـ ـ ـ ـ ـ ـ ر ] - عدد الحروف 8 -",الاعتبار,الاعتبارى,بالاعتبار
"-64 - وفي سياق الخطابات الموجهة إلى المؤتمر قام ممثلو البلدان التالية بالتعهد بمساهمات ل ـ ـ ـ ـ ـ ق الاستئماني لدعم تدشين برنامج البداية السريعة : النرويج ، 25 مليون كرونا نرويجي خلال فترة خمس سنوات ؛ جنوب أفريقيا ، 00 100 دولار ؛ السويد ، 25 مليون كرونا سويدي ؛ المملكة المتحدة لبريطانيا العظمي وأيرلندا الشمالية ، 000 300 دولار .-

- الحرف الأول [ ل ] - الحرف الأخير [ ق ] - [ ل ـ ـ ـ ـ ـ ق ] - عدد الحروف 7 -",للصندوق,لصندوق,والصندوق
"-50 - السيدةكورتي : حثت الحكومة على الوفاء بالتزامها بالتصديق على البروتوكول ا ـ ـ ـ ـ ـ ـ ـ ي للاتفاقية وتعديل الفقرة 1 من المادة 20 منها في أقرب وقت ممكن .-

- الحرف الأول [ ا ] - الحرف الأخير [ ي ] - [ ا ـ ـ ـ ـ ـ ـ ـ ي ] - عدد الحروف 9 -",الاختياري,واختياري,أختياري
"-) ب ( إن المعلومات ا ـ ـ ـ ـ ـ ـ ـ ة الكثيرة التي قدمها العراق في بغداد بشأن المجال الكيميائي غطت كامل عملية انتاج الأسلحة الكيميائية ، وخصوصا كميات السلائف المستوردة ، وكميات العوامل المنتجة ، وكميات المعدات التي تم الحصول عليها لإنتاج العوامل وأنواع تلك المعدات وقدراتها ، وكميات الذخائر الكيميائية المنتجة أو المستوردة ، وكميات الذخائر المحشوة ، مصنفة حسب العوامل المحشوة بها .-

- الحرف الأول [ ا ] - الحرف الأخير [ ة ] - [ ا ـ ـ ـ ـ ـ ـ ـ ة ] - عدد الحروف 9 -",التكميلية,والتكميلية,التكميلي
"-وأبلغ الممثل الدائم للنمسا ورئيس ا ـ ـ ـ ـ ة المنشأة عملا بالقرار 1267 ( 1999 ) السفير توماس ماير - هارتنغ عن وسائل تحديث القائمة وشطب الأفراد والكيانات منها ، وفقا للتوجيهات الواردة في قراري المجلس 1822 ( 2008 ) و 1904 ( 2009 ) ، وذلك لكفالة أن تبقى القائمة الموحدة دينامية وأن تعكس التهديدات الراهنة .-

- الحرف الأول [ ا ] - الحرف الأخير [ ة ] - [ ا ـ ـ ـ ـ ة ] - عدد الحروف 6 -",اللجنة,فاللجنة,عضواللجنة
