QUESTION_TEXT,OPTION_1,OPTION_2,OPTION_3
"-50 - ويجري العمل على الصعد الوطنية والإقليمية في جميع المجالات الآنفة الذكر كجزء مما يعرف بنهج "" أمم م ـ ـ ـ ة واحدة "" ويجري تنفيذه وفقا لأطر الأمم المتحدة للمساعدات الإنمائية المنشأة على الصعيد الوطني في البلدان المستهدفة الوثيقة الصلة حيث يجري تقديم الدعم الوطني .-

- الحرف الأول [ م ] - الحرف الأخير [ ة ] - [ م ـ ـ ـ ة ] - عدد الحروف 5 -",متحدة,ومتحدة,الممتحدة
"-٩١ - ترد في المرفق السادس التكاليف المرتبطة بالطور الأخير من مرحلة تصفية سلطة الأمم المتحدة الانتقالية في كمبوديا وترد م ـ ـ ـ ـ ـ ت تكميلية في هذا الشأن في المرفق السابع .-

- الحرف الأول [ م ] - الحرف الأخير [ ت ] - [ م ـ ـ ـ ـ ـ ت ] - عدد الحروف 7 -",معلومات,معلوماتى,كمعلومات
"-وفي إطار إقامة آليات فعالة للتعاون في مجال مكافحة الإرهاب تحت مظلة منظمة معاهدة الأمن الجماعي ، شارك الاتحاد الروسي في تشكيل أفرقة ع ـ ـ ـ ة معنية بمكافحة الإرهاب والتطرف والهجرة غير القانونية لدى لجنة أمناء مجالس الأمن بمنظمة معاهدة الأمن الجماعي .-

- الحرف الأول [ ع ] - الحرف الأخير [ ة ] - [ ع ـ ـ ـ ة ] - عدد الحروف 5 -",عاملة,وعاملة,كعاملة
"-وكان معروضا على المجلس ، لنظره في البند 11 من جدول الأعمال ، مذكرة من الأمين العام عن ا ـ ـ ـ ـ ـ ـ ـ ـ ت الاقتصادية والاجتماعية للاحتلال الإسرائيلي على الأحوال المعيشية للشعب الفلسطيني في الأرض الفلسطينية المحتلة ، بما فيها القدس الشرقية ، وللسكان العرب في الجولان السوري المحتل ( A / 65 / 72 - E / 2010 / 13 ) .-

- الحرف الأول [ ا ] - الحرف الأخير [ ت ] - [ ا ـ ـ ـ ـ ـ ـ ـ ـ ت ] - عدد الحروف 10 -",الانعكاسات,والانعكاسات,وانعكاسات
"-وتطلب الحكومة ا ـ ـ ـ ـ ـ ـ ة من الأمين العام للأمم المتحدة توزيع هذه المعلومات على كافة الدول والأعضاء وذلك استنادا الى الفقرة ١٠ ) أ ( من قرار الجمعية العامة ٤٢ / ١٥٤ وتضمين تلك المعلومات في تقرير الأمين العام للأمم المتحدة استنادا الى الفقرة ١٢ من القرار ٤٢ / ١٥٤ للجمعية العامة للأمم المتحدة .-

- الحرف الأول [ ا ] - الحرف الأخير [ ة ] - [ ا ـ ـ ـ ـ ـ ـ ة ] - عدد الحروف 8 -",العراقية,والعراقية,العراقي
"-ونستطيع من خلال تلك البرامج ، تخفيف تأثير فيروس نقص المناعة ا ـ ـ ـ ـ ـ ة والإيدز ودعم الأفراد لحماية أنفسهم على نحو أفضل .-

- الحرف الأول [ ا ] - الحرف الأخير [ ة ] - [ ا ـ ـ ـ ـ ـ ة ] - عدد الحروف 7 -",البشرية,بالبشرية,والبشرية
"-ستعقد جلسة إ ـ ـ ـ ة إعلامية غير رسمية قبل الدورة بشأن المسائل الرئيسية المعروضة على المجلس التنفيذي لليونيسيف في دورته العادية الثانية ( 10 - 14 كانون الأول / ديسمبر 2001 ) وذلك يوم الاثنين ، 26 تشرين الثاني / نوفمبر 2001 ، من الساعة 00 / 10 إلى الساعة 00 / 13 في قاعة المجلس الاقتصادي والاجتماعي .-

- الحرف الأول [ إ ] - الحرف الأخير [ ة ] - [ إ ـ ـ ـ ة ] - عدد الحروف 5 -",إحاطة,وإحاطة,لإحاطة
"-واللجنة تتوقع أن يؤدي ت ـ ـ ـ ذ النموذج الجديد لتقديم الخدمات إلى ارتفاع جودة الخدمات وتبسيط العمليات التجارية وتحسين أساليب العمل ، وأن يسفر أيضا عن الاستخدام الأمثل للموارد وتحقيق مكاسب الكفاءة ، بما في ذلك خفض الاحتياجات من الموظفين .-

- الحرف الأول [ ت ] - الحرف الأخير [ ذ ] - [ ت ـ ـ ـ ذ ] - عدد الحروف 5 -",تنفيذ,كتنفيذ,فتنفيذ
"-الأنشطة التنفيذية التي تضطلع بها الأمم المتحدة لأغراض التعاون الإنمائي ا ـ ـ ـ ـ ي-

- الحرف الأول [ ا ] - الحرف الأخير [ ي ] - [ ا ـ ـ ـ ـ ي ] - عدد الحروف 6 -",الدولي,كمالدولي,الدوليب
"-وتجلت عملية إعادة الهيكلة هذه في جدول أعمال الدورة الثالثة والخمسين الذي أدخلت عليه تنقيحات أساسية وتم ترشيده لأول مرة م ـ ـ  سنوات عديدة .-

- الحرف الأول [ م ] - [ م ـ ـ  ] - عدد الحروف 3 -",منذ,ومنذ,فمنذ
