QUESTION_TEXT,OPTION_1,OPTION_2,OPTION_3
"-يهدي الممثل الدائم للدانمرك لدى الأمم المتحدة تحياته إلى الأمين العام ، ويتشرف ، بالإشارة إلى الفقرة ٢٤ من قرار مجلس الأمن ٨٦٤ ) ١٩٩٣ ( ، بإبلاغ الأمين العام بأنه قد تم ت ـ ـ ـ ذ التدابير المفروضة بموجب الفقرة ١٩ من القرار ٨٦٤ ) ١٩٩٣ ( ، بموجب المرسوم الملكي رقم ٨٦٥ الصادر في ١٥ تشرين الثاني / نوفمبر ١٩٩٣ .-

- الحرف الأول [ ت ] - الحرف الأخير [ ذ ] - [ ت ـ ـ ـ ذ ] - عدد الحروف 5 -",تنفيذ,كتنفيذ,فتنفيذ
"-٥٣١ - وقد ارتبطت الحكومات والمانحون بموارد ك ـ ـ ـ ة جدا لتجنب حدوث كارثة في أعقاب الجفاف في الجنوب الافريقي .-

- الحرف الأول [ ك ] - الحرف الأخير [ ة ] - [ ك ـ ـ ـ ة ] - عدد الحروف 5 -",كبيرة,هائلة,ضخمة
"-48 - ينص قانون وحدة الاستخبارات المالية على أن هذه الوحدة مكلفة بتوجيه إنذار مبكر استباقي عن أي أنشطة في مجالي غسل الأموال و ـ ـ ـ ـ ل الإرهاب .-

- الحرف الأول [ و ] - الحرف الأخير [ ل ] - [ و ـ ـ ـ ـ ل ] - عدد الحروف 6 -",وتمويل,وتمويله,وتمويلها
"-وذكرت إدارة الدعم الميداني بأنه تم الإفراج عن 48 من المركبات ، ا ـ ـ ـ ـ غ مجموعها 54 مركبة ، إلى المشترين ، وأنه تم تحديث نظام غاليليو لإدارة المخزون تبعا لذلك .-

- الحرف الأول [ ا ] - الحرف الأخير [ غ ] - [ ا ـ ـ ـ ـ غ ] - عدد الحروف 6 -",البالغ,والبالغ,البالغه
"-45 - وقدم صندوق الأمم المتحدة للسكان المساعدة في إجراء الاستعراض الأول للبرنامج الوطني لتنظيم الأسرة الذي أدمجت توصياته في خطة و ـ ـ ـ ة .-

- الحرف الأول [ و ] - الحرف الأخير [ ة ] - [ و ـ ـ ـ ة ] - عدد الحروف 5 -",وطنية,وطنيةونظم,ووطنية
"-بروتوكول مكافحة صنع الأسلحة ا ـ ـ ـ ـ ـ ة وأجزائها ومكوناتها والذخيرة والاتجار بها بصورة غير مشروعة ، المكمل لاتفاقية الأمم المتحدة لمكافحة الجريمة المنظمة عبر الوطنية-

- الحرف الأول [ ا ] - الحرف الأخير [ ة ] - [ ا ـ ـ ـ ـ ـ ة ] - عدد الحروف 7 -",النارية,والنارية,الناريه
"-69 - ونظمت اللجان ا ـ ـ ـ ـ ـ ـ ـ ة أيضا خمس مشاورات إقليمية في نفس الوقت .-

- الحرف الأول [ ا ] - الحرف الأخير [ ة ] - [ ا ـ ـ ـ ـ ـ ـ ـ ة ] - عدد الحروف 9 -",الإقليمية,والإقليمية,الأقليمية
"-36 - وشارك في بعثة التقييم التقني كل من إدارة عمليات حفظ السلام ، وإدارة الدعم الميداني ، وإدارة الشؤون السياسية ، وإدارة الأمن والسلامة ، فضلا عن مكتب الأمم المتحدة ل ـ ـ ـ ـ ق الشؤون الإنسانية ، ومفوضية الأمم المتحدة لحقوق الإنسان ، وبرنامج الأمم المتحدة الإنمائي ، ومنظمة الأمم المتحدة للطفولة ، وبرنامج الأغذية العالمي ، وشارك موقعيا مفوض الأمم المتحدة السامي لشؤون اللاجئين .-

- الحرف الأول [ ل ] - الحرف الأخير [ ق ] - [ ل ـ ـ ـ ـ ق ] - عدد الحروف 6 -",لتنسيق,بحاجة,يتيمة
"-ولقد أكدنا ، رسميا وفي العديد من المناسبات ، على ضرورة إقامة ترتيبات أمن وتعاون إقليميين في الخليج الفارسي على أساس التزام كل دولة بالمبادئ التالية : احترام السيادة والسلامة الاقليمية ؛ وعدم قبول المطالبات بأراضي الغير ؛ وحرمة الحدود الدولية ؛ وعدم اللجوء إلى القوة في تسوية النزاعات ؛ وعدم ا ـ ـ ـ ـ ل في الشؤون الداخلية للدول الأخرى ، واحترام الاتفاقات والتفاهمات القائمة حاليا والامتثال لها ؛ والحوار والتفاهم المتبادل .-

- الحرف الأول [ ا ] - الحرف الأخير [ ل ] - [ ا ـ ـ ـ ـ ل ] - عدد الحروف 6 -",التدخل,التدخلي,والتدخل
"-59 - ومن الأهمية بمكان التشديد على أنه لا يجوز ، فيما يتعلق بالملاحقة الجنائية والمسؤولية الجنائية ، التذرع بالأمر الذي يصدره رئيس أو سلطة عامة لتبرير عمليات الإعدام خارج نطاق القضاء أو ح ـ ـ ـ ت الاختفاء القسري أو أعمال التعذيب أو جرائم الحرب أو الجرائم ضد الإنسانية ، ولا التذرع به لإعفاء مرتكبي تلك الأفعال من مسؤوليتهم الجنائية الفردية .-

- الحرف الأول [ ح ] - الحرف الأخير [ ت ] - [ ح ـ ـ ـ ت ] - عدد الحروف 5 -",حالات,كحالات,فحالات
"-- ممثل الرأس الأخضر في اللجان الأولى والثالثة والسياسية الخاصة ا ـ ـ ـ ـ ـ ة للجمعية العامة للأمم المتحدة خلال عدة دورات ؛-

- الحرف الأول [ ا ] - الحرف الأخير [ ة ] - [ ا ـ ـ ـ ـ ـ ة ] - عدد الحروف 7 -",التابعة,لتابعة,التابعه
"-وسوف يكون برنامج ا ـ ـ ـ ـ ـ م هذا مرتبطا ببرامج تعليم لأنشطة بناء القدرات وجهود الدعم التي تجري استجابة لطلبات الحكومات .-

- الحرف الأول [ ا ] - الحرف الأخير [ م ] - [ ا ـ ـ ـ ـ ـ م ] - عدد الحروف 7 -",التعليم,فالتعليم,والتعليم
"-وانتخب أيضا ثلاثة نواب ل ـ ـ ـ ـ س ) ايطاليا وشيلي وموريتانيا ( وقرر أن يستعيض عن منصب المقرر بمنصب نائب رئيس اضافي .-

- الحرف الأول [ ل ] - الحرف الأخير [ س ] - [ ل ـ ـ ـ ـ س ] - عدد الحروف 6 -",للرئيس,وللرئيس,ولرئيس
"-( د ) إلغاء جميع القوانين التي تميز ضد البنات وضمان أن تتفق أحكام الأنظمة القانونية المتعددة ، حيثما وجدت ، مع المعايير الدولية لحقوق الإنسان ، وخصوصا مبدأ عدم التمييز على أساس نوع ا ـ ـ ـ س ؛-

- الحرف الأول [ ا ] - الحرف الأخير [ س ] - [ ا ـ ـ ـ س ] - عدد الحروف 5 -",الجنس,فالجنس,الجنسى
"-7 - إن معاهدات الاستثمار الثنائية تتناول عادة القضايا الرئيسية التالية : نطاق الاستثمار وتعريفه ؛ والقبول والتأسيس ؛ والمعاملة الوطنية ؛ ومعاملة الدولة الأكثر رعاية ؛ والمعاملة العادلة والمنصفة ؛ والتعويض في حال نزع الملكية أو إ ـ ـ ـ ق ضرر بالاستثمار ؛ وضمانات حرية نقل الأموال ؛ وآليات تسوية المنازعات ، سواء بين دولة وأخرى أو بين المستثمر والدولة ( الأونكتاد ، 1998 ) .-

- الحرف الأول [ إ ] - الحرف الأخير [ ق ] - [ إ ـ ـ ـ ق ] - عدد الحروف 5 -",إلحاق,وإلحاق,بإلحاق
"-وقد رصد في السنوات القليلة الماضية جميع أشكال إساءة معاملة الأطفال ، رصدا دقيقا في إ ـ ـ ـ  مشروع نموذجي تتولى فيه مكاتب المقاطعات والشرطة والمشرفون الاجتماعيون تسجيل جميع حالات تعرض الأطفال لسوء المعاملة أو للاعتداءات الجنسية .-

- الحرف الأول [ إ ] - [ إ ـ ـ ـ  ] - عدد الحروف 4 -",إطار,اطار,الإطار
"-المؤشر 5 ( ب ) : العدد والنسبة المئوية للأدلة العسكرية وأطر السياسة الأمنية الوطنية ، ومدونات قواعد السلوك والإجراءات / النظم التشغيلية الموحدة لقوات الأمن الوطنية التي تشمل تدابير لحماية حقوق الإنسان للنساء و ـ ـ ـ ـ ـ ـ ت-

- الحرف الأول [ و ] - الحرف الأخير [ ت ] - [ و ـ ـ ـ ـ ـ ـ ت ] - عدد الحروف 8 -",والفتيات,الفتيات,بالفتيات
"-"" ) د ( القمع من جانب ا ـ ـ ـ ـ ة الصربية والجيش الصربي ؛-

- الحرف الأول [ ا ] - الحرف الأخير [ ة ] - [ ا ـ ـ ـ ـ ة ] - عدد الحروف 6 -",الشرطة,والشرطة,فالشرطة
"-25 - قرر المؤتمر في جلسته العامة 16 المعقودة في 28 أيار / مايو اعتماد صيغة تقاسم التكاليف التي اقترحتها اللجنة التحضيرية في تذييل المادة 12 من النظام الداخلي ( NPT / CONF . 2010 / 1 ، المرفق الثالث ) . وقد وضع الجدول النهائي للتكاليف الوارد في الوثيقة NPT / CONF . 2010 / 47 على أساس ا ـ ـ ـ ـ ـ ـ ة الفعلية للدول الأطراف في المؤتمر .-

- الحرف الأول [ ا ] - الحرف الأخير [ ة ] - [ ا ـ ـ ـ ـ ـ ـ ة ] - عدد الحروف 8 -",المشاركة,فالمشاركة,مشاركة
