QUESTION_TEXT,OPTION_1,OPTION_2,OPTION_3
"-41 - أما من الناحية السلبية ، فيساور وفده القلق بسبب انتشار الأسلحة النووية في السنوات الأخيرة ، وبسبب المشاكل ذات الصلة التي نشأت فيما يتعلق باستخدام الطاقة النووية في الأغراض السلمية ، فينبغي معالجة كل هذه الأمور بصورة جماعية وشفافة في إ ـ ـ ـ  معاهدة عدم الانتشار .-

- الحرف الأول [ إ ] - [ إ ـ ـ ـ  ] - عدد الحروف 4 -",إطار,اطار,الإطار
"-وبعد التناوب ، يجوز لنفس العميل الاستعانة ب ـ ـ ـ ـ ت المراجعين المستقلين من جديد بعد انقطاع مدته ثلاث سنوات .-

- الحرف الأول [ ب ] - الحرف الأخير [ ت ] - [ ب ـ ـ ـ ـ ت ] - عدد الحروف 6 -",بخدمات,وبخدمات,بخدماته
"-١٤ - تطلب الى الأمين العام أن يواصل التعريف بالبرنامج وأن يدعو بصورة دورية الدول الأعضاء والجامعات والمؤسسات الخيرية وغيرها من ا ـ ـ ـ ـ ـ ـ ت والمنظمات الوطنية والدولية المهتمة بالأمر ، وكذلك الأفراد ، لتقديم تبرعات من أجل تمويل البرنامج أو المساعدة بغير ذلك من الوسائل في تنفيذه وفي التوسع فيه إن أمكن ؛-

- الحرف الأول [ ا ] - الحرف الأخير [ ت ] - [ ا ـ ـ ـ ـ ـ ـ ت ] - عدد الحروف 8 -",المؤسسات,والمؤسسات,فالمؤسسات
"-وكان هذا هو السياق الذي أمرت فيه ا ـ ـ ـ ـ ـ ة الابتدائية قلم المحكمة بتعيين "" صديق للمحكمة "" للتحقيق فيما إذا كان هناك سبب يدعو إلى الاعتقاد بإقدام بعض أعضاء هيئة الادعاء على انتهاك حرمة المحكمة .-

- الحرف الأول [ ا ] - الحرف الأخير [ ة ] - [ ا ـ ـ ـ ـ ـ ة ] - عدد الحروف 7 -",الدائرة,والدائرة,بالدائرة
"-""ولا يجوز للبرلمان أن يعترض على طرح المبادرة الشعبية للاستفتاء , إلا اذا اعتبرت غير مقبولة لعيب في الشكل والموضوع أو لأنها تنتهك قواعد ا ـ ـ ـ ـ ـ ن الدولي العام .""-

- الحرف الأول [ ا ] - الحرف الأخير [ ن ] - [ ا ـ ـ ـ ـ ـ ن ] - عدد الحروف 7 -",القانون,فالقانون,والقانون
"-وقالت إن على المنظمة أن تعطي جميع الموظفين في جميع أنحاء المنظومة فرصة التنافس على كل وظيفة متاحة ، سواء أكانت على نفس المستوى أو على م ـ ـ ـ ى أعلى ، في نفس مقر العمل بالنسبة للموظفين المحليين وفي جميع مقار العمل بالنسبة للموظفين الدوليين .-

- الحرف الأول [ م ] - الحرف الأخير [ ى ] - [ م ـ ـ ـ ى ] - عدد الحروف 5 -",مستوى,فمستوى,لمستوى
"-`4 &apos; تعزيز وبناء ، حيثما كان ذلك مناسبا ، قدرات إقليمية تتعلق بالمعلومات ونشرها لتوفير المعلومات لصناعة خدمات الطاقة بشأن الفرص ا ـ ـ ـ ـ ـ ة في السوق ، والهياكل الأساسية لكفاءة استخدام الطاقة ، وتقديم المعلومات إلى المستهلكين بشأن فوائد التدابير المتخذة لتحقيق كفاءة استخدام الطاقة ؛-

- الحرف الأول [ ا ] - الحرف الأخير [ ة ] - [ ا ـ ـ ـ ـ ـ ة ] - عدد الحروف 7 -",المتاحة,والمتاحة,المتاح
"-42 - وقد تفاقم الانهيار في الأسعار الدولية للسلع الأساسية بفعل الانكماش الشديد في الطلب في ا ـ ـ ـ ـ ـ ـ ـ ـ ت المتقدمة وفي العديد من ا ـ ـ ـ ـ ـ ـ ـ ـ ت الناشئة ، مما أدى إلى انخفاضات شديدة في حجم التجارة الدولية في السلع الأساسية .-

- الحرف الأول [ ا ] - الحرف الأخير [ ت ] - [ ا ـ ـ ـ ـ ـ ـ ـ ـ ت ] - عدد الحروف 10 -",الاقتصادات,والاقتصادات,اقتصادات
"-٦ - يوافق كذلك على اقتراح الأمين العام الداعي الى وزع وانسحاب بعثة الأمم المتحدة للمساعدة في رواندا على مراحل ، ويلاحظ ، في هذا الصدد ، أن ولاية البعثة ، في حالة تمديدها ، يتوقع لها أن تنتهي عقب إجراء الانتخابات الوطنية وإقامة حكومة ج ـ ـ ـ ة في رواندا ، وهما الحدثان المقرر إجراؤهما بحلول تشرين الأول / اكتوبر ١٩٩٥ ، وفي موعد لا يتجاوز كانون الأول / ديسمبر ١٩٩٥ ؛-

- الحرف الأول [ ج ] - الحرف الأخير [ ة ] - [ ج ـ ـ ـ ة ] - عدد الحروف 5 -",جديدة,وجديدة,بجديدة
"-ويشمل ذلك ، في جملة أمور ، المصروفات المالية لحضور حلقات العمل والحلقات ا ـ ـ ـ ـ ـ ـ ة والمؤتمرات والدورات الجامعية وإيفاد مستشارين تقنيين للتدريب في الموقع .-

- الحرف الأول [ ا ] - الحرف الأخير [ ة ] - [ ا ـ ـ ـ ـ ـ ـ ة ] - عدد الحروف 8 -",الدراسية,والدراسية,الدراسيه
