QUESTION_TEXT,OPTION_1,OPTION_2,OPTION_3
"-وقد أحرزت البلد تقدما كبيرا في تحسين م ـ ـ ـ ـ ت الالتحاق ، على الرغم من أن التعليم ليس إجباريا .-

- الحرف الأول [ م ] - الحرف الأخير [ ت ] - [ م ـ ـ ـ ـ ت ] - عدد الحروف 6 -",معدلات,فمعدلات,ومعدلات
"-١٠ - ويتوقع أن يتم وزع ٦٦٧ ٢٧ فردا من أفراد الوحدات من القوام ا ـ ـ ـ ـ ـ ن به وهو ٧٠٠ ٣٤ بنهاية فترة الولاية الحالية .-

- الحرف الأول [ ا ] - الحرف الأخير [ ن ] - [ ا ـ ـ ـ ـ ـ ن ] - عدد الحروف 7 -",المأذون,المأذونة,المأذونية
"-تعقد دورات ا ـ ـ ـ ـ ة في الأحوال العادية في مقر الأمم المتحدة أو في المكاتب الأخرى التابعة للأمم المتحدة .-

- الحرف الأول [ ا ] - الحرف الأخير [ ة ] - [ ا ـ ـ ـ ـ ة ] - عدد الحروف 6 -",اللجنة,فاللجنة,عضواللجنة
"-19 - وستقوم اللجنة ، بما في ذلك عن طريق المديرية التنفيذية ، بتكثيف التعاون مع المنظمات الدولية والإقليمية ودون ا ـ ـ ـ ـ ـ ـ ـ ة ذات الصلة بغية تعزيز قدرة الدول الأعضاء على التنفيذ التام للقرار 1373 ( 2001 ) وتيسير تقديم المساعدة التقنية .-

- الحرف الأول [ ا ] - الحرف الأخير [ ة ] - [ ا ـ ـ ـ ـ ـ ـ ـ ة ] - عدد الحروف 9 -",الإقليمية,والإقليمية,الأقليمية
"-ومع ذلك ، وحتى الآن لم تنفذ تلك القرارات ولم تحترم أحكامها ، وتتدهور الأوضاع على أرض الواقع ، وتتصاعد الأعمال العسكرية ، ويسعى المعتدون لتعزيز مكاسبهم الإقليمية تدريجيا مع السعي لفرضها كأمر واقع ليس فقط على الدولة ضحية العدوان بل أيضا على المجتمع ا ـ ـ ـ ـ ي بأسره .-

- الحرف الأول [ ا ] - الحرف الأخير [ ي ] - [ ا ـ ـ ـ ـ ي ] - عدد الحروف 6 -",الدولي,كمالدولي,الدوليب
"-ت ـ ـ ـ ر الموارد المالية والتقنية الكافية لدعم مشروعات بناء القدرات الوطنية والإقليمية الخاصة بالنظام الموحد عالميا لتصنيف المواد الكيميائية ووضع البطاقات التعريفية عليها في البلدان النامية والبلدان التي تمر اقتصاداتها بمرحلة انتقال .-

- الحرف الأول [ ت ] - الحرف الأخير [ ر ] - [ ت ـ ـ ـ ر ] - عدد الحروف 5 -",توافر,توافره,وتوافر
"-وإذ يسلم مرة أخرى بطابع الترابط الذي يسم التحديات الماثلة في أفغانستان ، وإذ يؤكد من جديد أن أوجه التقدم المستدام في م ـ ـ ـ ـ ت الأمن والحكم والتنمية ، وكذلك بشأن المسألة الشاملة لعدة قطاعات والخاصة بمكافحة المخدرات ، يعزز كل منها الآخر ، وإذ يرحب بالجهود المتواصلة التي تبذلها الحكومة الأفغانية والمجتمع الدولي للتصدي لهذه التحديات ،-

- الحرف الأول [ م ] - الحرف الأخير [ ت ] - [ م ـ ـ ـ ـ ت ] - عدد الحروف 6 -",مجالات,كمجالات,ومجالات
"-وفي نهاية ش ـ ـ  نيسان / ابريل قامت شعبة المباني والخدمات التجارية التابعة لمكتب الخدمات العامة بإبلاع الإدارة بأنها اتصلت بالمهندسين المعماريين الأصليين لمجمع مباني المقر الدائم وطلبت آراءهم بشأن الاقتراح القاضي ببناء طابق إضافي فوق مبنى الكافتيريا .-

- الحرف الأول [ ش ] - [ ش ـ ـ  ] - عدد الحروف 3 -",شهر,غلشهر,الشهر
"-وتحيط اللجنة علما ، بصفة خاصة ، بالأهداف والغايات التي تسعى الدولة الطرف إلى تحقيقها في س ـ ـ ـ  إطار الأمم المتحدة للمساعدة الإنمائية الذي يهدف إلى تحسين مستويات المعيشة من خلال الحد من التفاوتات الاجتماعية - الاقتصادية والإقليمية وتعزيز القدرات المؤسسية من أجل التصدي لتحديات التنمية .-

- الحرف الأول [ س ] - [ س ـ ـ ـ  ] - عدد الحروف 4 -",سياق,وسياق,السياق
"-( ه ) بذل قدر أكبر من الجهود لتشجيع وتوسيع برامج إ ـ ـ ـ ة التأهيل المجتمعية ، بما في ذلك جماعات دعم الوالدين ، والتعليم الشامل للأطفال المصابين بجميع أشكال الإعاقة ؛-

- الحرف الأول [ إ ] - الحرف الأخير [ ة ] - [ إ ـ ـ ـ ة ] - عدد الحروف 5 -",إعادة,إعاد,وإعادة
